trade_date,open,high,close,low,vol,change
20010102,14.7,15.5,15.3,14.54,27279.66,0.65
20010103,15.3,15.3,15.24,15.06,16386.86,-0.06
20010104,15.25,15.34,15.05,15.0,18529.89,-0.19
20010105,15.15,15.8,15.72,15.05,44134.29,0.67
20010108,15.84,15.84,15.55,15.4,25046.33,-0.17
20010109,15.6,15.64,15.4,15.16,13964.31,-0.15
20010110,15.48,15.94,15.91,15.3,16818.11,0.51
20010111,15.91,16.09,15.77,15.72,16031.51,-0.14
20010112,15.77,15.77,15.6,15.52,9885.99,-0.17
20010115,15.6,15.6,14.73,14.68,18462.11,-0.87
20010116,14.44,14.89,14.77,14.41,9160.8,0.04
20010117,14.8,14.9,14.7,14.7,4864.0,-0.07
20010118,14.6,14.77,14.71,14.56,7651.38,0.01
20010119,14.7,15.02,14.88,14.7,8770.2,0.17
20010205,14.96,15.0,14.23,14.1,6315.91,-0.65
20010206,14.15,14.31,14.25,14.01,6326.43,0.02
20010207,14.24,14.38,14.0,13.99,4094.6,-0.25
20010208,14.0,14.18,13.77,13.69,4457.83,-0.23
20010209,13.95,14.3,14.05,13.8,4784.41,0.28
20010212,14.2,14.2,14.06,13.9,2551.36,0.01
20010213,14.15,14.22,14.09,14.01,3129.6,0.03
20010214,13.9,14.15,14.07,13.9,1080.03,-0.02
20010215,14.07,14.19,13.94,13.94,1466.5,-0.13
20010216,13.9,13.9,13.69,13.4,4043.8,-0.25
20010219,13.7,14.0,13.98,13.6,3231.35,0.29
20010220,13.89,14.05,13.85,13.7,3334.78,-0.13
20010221,13.7,13.85,13.5,13.42,4298.42,-0.35
20010222,13.5,13.73,13.52,13.43,2162.6,0.02
20010223,13.6,13.95,13.91,13.49,3992.45,0.39
20010226,13.89,14.0,13.98,13.8,4108.14,0.07
20010227,13.98,14.2,14.19,13.78,4048.0,0.21
20010228,14.15,14.15,14.05,13.93,1488.5,-0.14
20010301,14.02,14.3,14.29,13.9,3485.85,0.24
