,trade_date,open,high,close,low,vol,change
3765,20050104,994.769,994.769,982.794,980.658,7412868.94,-17.206
3764,20050105,981.577,997.323,992.564,979.877,7119108.98,9.77
3763,20050106,993.331,993.788,983.174,980.33,6288029.05,-9.39
3762,20050107,983.045,995.711,983.958,979.812,7298694.09,0.784
3761,20050110,983.76,993.959,993.879,979.789,5791697.99,9.921
3760,20050111,994.189,999.554,997.135,991.092,5849079.98,3.256
3759,20050112,996.651,996.976,996.748,989.257,5014525.09,-0.387
3758,20050113,996.078,999.473,996.877,992.695,6044065.84,0.129
3757,20050114,996.617,1006.463,988.306,987.233,7297842.38,-8.571
3756,20050117,979.111,981.525,967.452,965.078,7288188.76,-20.854
3755,20050118,967.374,974.872,974.689,960.293,7311847.82,7.237
3754,20050119,974.333,974.333,967.21,965.258,6338091.19,-7.479
3753,20050120,963.213,963.213,956.245,952.23,7727106.7,-10.965
3752,20050121,954.462,984.274,982.604,943.439,14450059.85,26.359
3751,20050124,1001.854,1001.854,998.133,986.239,14359461.61,15.529
3750,20050125,995.637,997.951,997.775,985.237,9862529.11,-0.358
3749,20050126,995.78,999.474,989.928,988.475,7663290.17,-7.847
3748,20050127,987.342,987.702,974.631,973.771,6945364.97,-15.297
3747,20050128,974.631,975.624,969.209,965.209,5748807.38,-5.422
3746,20050131,965.785,965.785,954.879,953.142,6788706.43,-14.33
3745,20050201,953.33,965.477,955.951,952.741,7433066.76,1.072
3744,20050202,956.701,1006.932,1006.913,956.701,17057338.57,50.962
3743,20050203,1005.563,1014.187,993.215,992.155,16974539.33,-13.698
3742,20050204,992.25,1021.025,1016.858,989.939,15736214.61,23.643
3741,20050216,1023.324,1033.248,1023.584,1018.487,12131293.05,6.726
3740,20050217,1024.43,1024.43,1020.606,1010.476,8968297.66,-2.978
3739,20050218,1020.122,1021.199,1006.055,1005.631,8139939.36,-14.551
3738,20050221,1006.693,1025.656,1025.633,1006.693,9886094.16,19.578
3737,20050222,1026.837,1048.678,1046.744,1024.527,17937842.31,21.111
3736,20050223,1046.812,1049.609,1043.944,1036.625,18696929.71,-2.8
3735,20050224,1042.253,1045.958,1045.46,1034.731,14681788.53,1.516
3734,20050225,1046.274,1059.483,1046.761,1045.982,18170003.38,1.301
3733,20050228,1046.206,1048.278,1039.989,1035.039,12971046.04,-6.772
