trade_date,open,high,close,low,vol,change
20010102,16.3,16.47,16.3,16.13,5240.11,-0.19
20010103,16.31,16.31,16.2,16.09,3962.28,-0.1
20010104,16.21,16.21,16.2,16.02,3976.08,0.0
20010105,16.2,16.4,16.39,16.05,2300.0,0.19
20010108,16.4,16.96,16.94,16.3,7973.98,0.55
20010109,17.0,17.2,17.01,16.84,5332.27,0.07
20010110,17.1,17.15,17.1,17.02,3318.1,0.09
20010111,17.11,17.3,17.12,17.0,2797.03,0.02
20010112,17.0,17.19,17.19,16.98,3823.45,0.07
20010115,16.9,17.09,16.53,16.2,1859.0,-0.66
20010116,16.5,16.8,16.71,16.21,1144.69,0.18
20010117,16.9,16.9,16.72,16.7,1289.0,0.01
20010118,17.35,17.35,16.8,16.75,2241.7,0.08
20010119,16.9,17.06,17.03,16.8,2145.6,0.23
20010205,17.02,17.13,16.7,16.7,1650.0,-0.33
20010206,16.5,16.55,16.4,16.3,1333.0,-0.3
20010207,16.4,16.78,16.46,16.32,538.4,0.06
20010208,16.7,16.7,15.83,15.82,1686.0,-0.63
20010209,16.2,16.79,16.78,16.0,4235.32,0.95
20010212,16.78,17.45,17.32,16.75,13952.35,0.54
20010213,17.2,17.38,17.1,16.81,3642.12,-0.22
20010214,17.0,17.32,17.1,16.95,5610.87,0.0
20010215,17.38,17.47,16.6,16.5,5137.0,-0.5
20010216,16.1,16.2,15.56,15.3,50166.49,-1.04
20010219,15.55,15.7,15.67,15.35,8746.9,0.11
20010220,15.73,15.8,15.3,15.21,12344.2,-0.37
20010221,15.3,15.3,14.68,14.65,9585.9,-0.62
20010222,14.55,14.8,14.55,14.21,4868.37,-0.13
20010223,14.7,15.58,15.57,14.66,8228.99,1.02
20010226,15.38,15.49,15.39,15.2,5148.5,-0.18
20010227,15.32,15.75,15.58,15.32,6127.97,0.19
20010228,15.6,15.65,15.31,15.2,3879.45,-0.27
20010301,15.36,15.5,15.38,15.29,2125.1,0.07
20010302,15.5,15.5,15.45,15.4,3502.72,0.07
20010305,15.58,15.58,15.43,15.35,2827.53,-0.02
20010306,15.4,15.7,15.64,15.38,5350.3,0.21
20010307,15.65,15.68,15.65,15.53,2444.3,0.01
20010308,15.65,15.66,15.49,15.43,2920.4,-0.16
20010309,15.5,15.7,15.6,15.45,5004.19,0.11
20010312,15.64,15.64,15.55,15.45,3393.39,-0.05
20010313,15.52,15.93,15.93,15.45,10801.5,0.38
20010314,15.8,16.08,15.99,15.8,11655.82,0.06
20010315,16.05,16.08,15.93,15.88,5096.45,-0.06
20010316,15.98,16.0,15.95,15.9,5098.2,0.02
20010320,16.1,16.38,16.19,16.06,5643.8,0.24
20010321,16.2,16.65,16.6,16.19,11280.81,0.41
20010322,16.69,16.75,16.5,16.49,10241.0,-0.1
20010323,16.8,16.8,16.8,16.48,15948.03,0.3
20010326,16.8,17.35,17.28,16.7,19647.89,0.48
20010327,17.4,17.45,17.17,17.05,14028.57,-0.11
20010328,17.31,17.48,17.36,17.25,23307.33,0.19
20010329,10.8,11.07,10.84,10.79,53209.95,0.06
20010330,10.85,11.07,11.07,10.85,80061.2,0.23
20010402,11.0,11.16,10.88,10.8,63167.4,-0.19
20010403,10.8,10.99,10.96,10.78,100568.0,0.08
20010404,11.33,11.33,10.73,10.6,60730.64,-0.23
20010405,10.58,10.75,10.4,10.3,60257.96,-0.33
20010406,10.4,10.51,10.41,10.35,49401.51,0.01
20010409,10.5,10.94,10.7,10.49,143691.28,0.29
20010410,10.74,10.75,10.56,10.47,36231.03,-0.14
20010411,10.58,10.74,10.53,10.5,21929.68,-0.03
20010412,10.52,10.68,10.45,10.4,23278.1,-0.08
20010413,10.42,10.74,10.74,10.32,21893.9,0.29
20010416,10.65,10.68,10.51,10.45,21198.92,-0.23
20010417,10.55,10.59,10.46,10.37,25946.92,-0.05
20010418,10.45,10.45,10.41,10.35,18270.1,-0.05
20010419,10.45,10.55,10.55,10.38,15032.44,0.14
20010420,10.58,10.62,10.46,10.38,13474.28,-0.09
20010423,10.45,10.45,10.19,10.16,22352.45,-0.27
20010424,10.18,10.69,10.3,10.18,14695.44,0.11
20010425,10.36,10.36,10.06,9.99,30720.87,-0.24
20010426,10.1,10.15,9.9,9.87,19891.2,-0.16
20010427,9.95,10.0,9.99,9.89,10645.41,0.09
20010430,10.0,10.47,10.47,9.99,14966.82,0.48
20010508,10.3,10.43,10.36,10.18,8823.72,-0.11
20010509,10.36,10.36,10.18,10.06,6379.54,-0.18
20010510,10.18,10.2,10.15,10.02,9757.88,-0.03
20010511,10.16,10.18,10.18,10.02,7256.95,0.03
20010514,10.18,10.2,10.07,10.02,12751.51,-0.11
20010515,10.08,10.2,10.17,10.05,10219.44,0.1
20010516,10.2,10.25,10.22,10.16,7694.32,0.05
20010517,10.23,10.44,10.38,10.23,15306.49,0.16
20010518,10.4,10.76,10.42,10.37,30441.21,0.04
20010521,10.45,10.5,10.38,10.24,11740.22,-0.04
20010522,10.38,10.51,10.49,10.24,44121.37,0.11
20010523,10.46,10.74,10.56,10.4,72704.99,0.07
20010524,10.52,10.7,10.58,10.5,31795.79,0.02
20010525,10.55,10.62,10.44,10.4,9980.44,-0.14
20010528,10.44,10.51,10.34,10.28,9969.77,-0.1
20010529,10.34,10.39,10.34,10.25,30250.78,0.0
20010530,10.4,10.49,10.4,10.34,25000.86,0.06
20010531,10.4,10.48,10.29,10.26,9548.54,-0.11
20010601,10.28,10.36,10.24,10.2,8181.79,-0.05
20010604,10.24,10.3,10.19,10.18,14918.02,-0.05
20010605,10.2,10.25,10.2,10.17,11816.12,0.01
20010606,10.22,10.5,10.38,10.18,27189.02,0.18
20010607,10.4,10.44,10.23,10.2,14937.63,-0.15
20010608,10.25,10.45,10.27,10.21,42812.64,0.04
20010611,10.3,10.39,10.13,10.09,15754.91,-0.14
20010612,10.1,10.23,10.15,10.09,9783.08,0.02
20010613,10.15,10.25,10.2,10.05,21105.42,0.05
20010614,10.25,10.35,10.07,10.05,19162.92,-0.13
20010615,10.07,10.15,10.1,9.99,14298.37,0.03
20010618,10.05,10.1,9.88,9.86,14329.78,-0.22
20010619,9.87,10.0,10.0,9.82,16141.44,0.12
20010620,10.0,10.0,9.89,9.86,5120.2,-0.11
20010621,9.89,10.18,10.18,9.85,6601.81,0.29
20010622,9.81,10.18,10.0,9.81,7298.14,-0.18
20010625,10.0,10.12,10.0,9.97,6882.6,0.0
20010626,10.05,10.05,9.96,9.93,7209.58,-0.04
20010627,9.98,10.06,9.98,9.9,6939.7,0.02
20010628,10.0,10.04,9.9,9.88,8196.86,-0.08
20010629,9.9,9.95,9.89,9.88,6354.0,-0.01
20010702,9.9,9.96,9.82,9.81,4987.16,-0.07
20010703,9.83,9.89,9.83,9.8,5871.56,0.01
20010704,9.8,10.0,9.75,9.72,3423.56,-0.08
20010705,9.8,9.8,9.67,9.67,5438.24,-0.08
20010706,9.65,9.65,9.52,9.52,6440.08,-0.15
20010709,9.52,9.54,9.4,9.4,6391.82,-0.12
20010710,9.44,9.63,9.62,9.44,3172.44,0.22
20010711,9.62,9.72,9.5,9.5,2115.98,-0.12
20010712,9.5,9.5,9.45,9.4,2144.81,-0.05
20010713,9.5,9.6,9.42,9.4,2136.2,-0.03
20010716,9.5,9.55,9.3,9.2,6357.51,-0.12
20010717,9.27,9.27,9.12,9.01,7352.91,-0.18
20010718,9.15,9.24,9.17,9.12,2459.79,0.05
20010719,9.19,9.26,9.15,9.11,2571.32,-0.02
20010720,9.18,9.8,9.59,9.18,10299.4,0.44
20010723,9.6,9.62,9.46,9.44,6396.8,-0.13
20010724,9.42,9.42,9.19,9.1,7489.76,-0.27
20010725,9.3,9.3,9.15,9.07,5775.5,-0.04
20010726,9.16,9.2,9.16,9.08,3470.02,0.01
20010727,9.16,9.2,9.2,9.04,5383.58,0.04
20010730,9.15,9.15,8.79,8.7,5197.72,-0.41
20010731,8.7,8.84,8.46,8.45,4773.58,-0.33
20010801,8.46,9.0,9.0,8.46,13406.19,0.54
20010802,8.88,9.03,9.03,8.5,18655.42,0.03
20010803,9.0,9.32,9.27,8.83,19550.33,0.24
20010806,9.15,9.15,8.98,8.75,6365.04,-0.29
20010807,8.88,9.25,9.2,8.78,22642.36,0.22
20010808,9.1,9.1,8.92,8.8,4496.36,-0.28
20010809,8.9,8.94,8.81,8.65,9246.04,-0.11
20010810,8.85,9.1,8.99,8.7,12167.62,0.18
20010813,8.97,8.97,8.78,8.74,4723.0,-0.21
20010814,8.85,8.89,8.65,8.52,18403.53,-0.13
20010815,8.65,8.7,8.65,8.6,2061.92,0.0
20010816,8.65,8.66,8.5,8.48,4880.0,-0.15
20010817,8.46,8.58,8.28,8.28,7450.6,-0.22
20010820,8.33,8.4,8.3,8.26,5797.0,0.02
20010821,8.35,8.39,8.28,8.25,5860.0,-0.02
20010822,8.28,8.3,8.11,8.06,7962.7,-0.17
20010823,8.03,8.08,8.05,7.95,8567.14,-0.06
20010824,8.1,8.16,8.02,7.9,5304.08,-0.03
20010827,8.0,8.0,7.72,7.7,4256.68,-0.3
20010828,7.68,7.73,7.71,7.17,11437.75,-0.01
20010829,7.68,7.71,7.62,7.51,4853.83,-0.09
20010830,7.58,7.68,7.68,7.48,2209.7,0.06
20010831,7.68,7.7,7.63,7.58,1622.6,-0.05
20010903,7.6,7.65,7.62,7.5,2122.58,-0.01
20010904,7.6,7.89,7.89,7.58,4832.38,0.27
20010905,7.97,7.98,7.9,7.82,3715.33,0.01
20010906,7.9,7.9,7.77,7.72,2228.2,-0.13
20010907,7.78,7.8,7.49,7.47,3370.8,-0.28
20010911,7.79,7.87,7.79,7.6,3765.7,0.3
20010912,7.2,7.69,7.55,7.2,5003.04,-0.24
20010913,7.6,7.65,7.58,7.5,1930.12,0.03
20010914,7.56,7.57,7.41,7.4,2274.02,-0.17
20010917,7.41,7.41,7.28,7.25,2628.54,-0.13
20010918,7.28,7.5,7.43,7.28,2349.33,0.15
20010919,7.44,7.6,7.6,7.3,3833.53,0.17
20010920,7.63,7.64,7.58,7.5,2486.0,-0.02
20010921,7.5,7.54,7.51,7.47,1420.7,-0.07
20010924,7.5,7.5,7.48,7.37,1416.84,-0.03
20010925,7.46,7.48,7.41,7.3,2346.9,-0.07
20010926,7.32,7.45,7.33,7.3,1426.81,-0.08
20010927,7.33,7.45,7.34,7.2,2156.0,0.01
20010928,7.35,7.35,7.32,7.18,1967.07,-0.02
20011008,7.32,7.32,7.23,7.18,1604.7,-0.09
20011009,7.23,7.4,7.39,7.2,1273.5,0.16
20011010,7.38,7.39,7.2,7.11,2019.28,-0.19
20011011,7.2,7.29,7.05,7.0,4154.4,-0.15
20011012,7.1,7.27,7.24,6.95,4783.08,0.19
20011015,7.35,7.35,7.19,7.11,2359.17,-0.05
20011016,7.2,7.2,7.08,7.05,929.8,-0.11
20011017,7.1,7.11,7.04,7.01,1244.72,-0.04
20011018,7.04,7.09,6.99,6.9,2562.02,-0.05
20011019,6.95,6.95,6.74,6.64,3078.83,-0.25
20011022,6.6,6.6,6.38,6.38,3170.6,-0.36
20011023,6.7,7.02,7.02,6.46,18125.45,0.64
20011024,7.28,7.3,7.11,6.88,22779.88,0.09
20011025,7.08,7.08,6.83,6.71,6072.13,-0.28
20011026,6.75,6.8,6.68,6.62,6173.0,-0.15
20011029,6.74,6.83,6.79,6.68,3234.6,0.11
20011030,6.84,6.93,6.89,6.79,3335.28,0.1
20011031,6.82,6.9,6.9,6.81,1805.78,0.01
20011101,7.02,7.03,6.99,6.86,3757.77,0.09
20011102,6.98,7.05,6.99,6.89,3217.7,0.0
20011105,6.99,6.99,6.89,6.78,1752.2,-0.1
20011106,6.9,6.92,6.82,6.82,1593.2,-0.07
20011107,6.77,6.79,6.49,6.48,3522.0,-0.33
20011108,6.39,6.58,6.53,6.29,2550.92,0.04
20011109,6.55,6.57,6.55,6.4,2484.31,0.02
20011112,6.55,6.74,6.66,6.5,2279.43,0.11
20011113,6.6,6.78,6.74,6.49,2918.4,0.08
20011114,6.8,6.8,6.69,6.68,1039.43,-0.05
20011115,6.53,6.69,6.59,6.53,893.65,-0.1
20011116,7.13,7.13,6.7,6.68,5552.44,0.11
20011119,6.61,6.87,6.86,6.61,5665.21,0.16
20011120,6.83,7.12,7.08,6.78,9841.95,0.22
20011121,7.04,7.19,7.19,6.9,8760.79,0.11
20011122,7.18,7.26,7.25,7.13,9332.15,0.06
20011123,7.24,7.45,7.39,7.2,16891.71,0.14
20011126,7.43,7.58,7.55,7.2,33485.49,0.16
20011127,7.08,7.85,7.82,7.08,51510.92,0.27
20011128,7.99,8.0,7.77,7.65,42365.35,-0.05
20011129,7.77,7.83,7.74,7.65,14567.53,-0.03
20011130,7.72,7.78,7.75,7.58,15273.73,0.01
20011203,7.79,7.9,7.9,7.7,13733.19,0.15
20011204,7.93,8.0,7.91,7.84,11017.4,0.01
20011205,7.91,7.91,7.67,7.65,13399.2,-0.24
20011206,7.6,7.7,7.64,7.57,7948.74,-0.03
20011207,7.7,7.7,7.6,7.56,5684.49,-0.04
20011210,7.51,7.6,7.55,7.5,4473.24,-0.05
20011211,7.55,7.75,7.62,7.55,5518.0,0.07
20011212,7.7,7.7,7.6,7.53,3625.32,-0.02
20011213,7.6,7.65,7.39,7.38,4677.0,-0.21
20011214,7.39,7.39,7.27,7.23,5266.7,-0.12
20011217,7.25,7.26,7.16,7.13,3651.9,-0.11
20011218,7.2,7.35,7.32,7.15,4285.07,0.16
20011219,7.34,7.34,7.22,7.22,4473.6,-0.1
20011220,7.23,7.24,7.08,7.08,3747.19,-0.14
20011221,7.06,7.22,7.16,7.06,2763.81,0.08
20011224,7.16,7.16,6.98,6.97,2636.6,-0.18
20011225,6.98,7.02,6.96,6.9,3334.18,-0.02
20011226,7.0,7.08,7.04,6.92,2253.5,0.08
20011227,7.06,7.13,7.04,7.03,3197.8,0.0
20011228,7.05,7.1,7.09,6.93,3792.7,0.05
20011231,7.1,7.26,7.19,7.05,1882.8,0.1
20020104,7.18,7.23,7.07,7.05,1576.6,-0.12
20020107,6.98,7.0,6.88,6.85,2653.69,-0.19
20020108,6.85,7.0,6.85,6.81,1613.99,-0.03
20020109,6.88,6.88,6.67,6.66,2143.0,-0.18
20020110,6.6,6.85,6.75,6.45,3897.62,0.08
20020111,6.8,6.8,6.55,6.52,2424.7,-0.2
20020114,6.5,6.5,6.4,6.36,3080.5,-0.15
20020115,6.3,6.55,6.32,6.29,1990.01,-0.08
20020116,6.3,6.49,6.44,6.26,2657.28,0.12
20020117,6.44,6.45,6.23,6.2,3118.5,-0.21
20020118,6.18,6.19,6.12,5.97,6257.01,-0.11
20020121,6.0,6.1,5.81,5.8,4204.0,-0.31
20020122,5.8,5.98,5.72,5.7,5778.61,-0.09
20020123,5.72,6.29,6.29,5.68,6674.38,0.57
20020124,6.2,6.47,6.3,6.02,8929.73,0.01
20020125,6.28,6.35,6.29,6.23,3451.29,-0.01
20020128,6.25,6.29,5.99,5.93,8474.17,-0.3
20020129,5.9,6.27,6.19,5.81,4255.85,0.2
20020130,6.18,6.25,6.23,6.1,3231.55,0.04
20020131,6.25,6.68,6.63,6.25,14063.77,0.4
20020201,6.6,6.65,6.54,6.35,6691.61,-0.09
20020204,6.55,6.66,6.64,6.46,8066.76,0.1
20020205,6.64,6.69,6.64,6.5,5977.36,0.0
20020206,6.66,6.66,6.43,6.1,4567.6,-0.21
20020207,6.38,6.68,6.62,6.35,5993.61,0.19
20020208,6.58,6.75,6.59,6.55,5810.99,-0.03
20020225,6.78,6.78,6.68,6.59,4647.94,0.09
20020226,6.68,6.7,6.69,6.57,3489.73,0.01
20020227,6.69,6.97,6.73,6.64,3887.52,0.04
20020228,6.73,6.84,6.75,6.66,4375.64,0.02
20020301,6.7,6.7,6.63,6.55,4336.32,-0.12
20020304,6.51,7.0,6.96,6.51,5274.15,0.33
20020305,6.82,7.03,6.99,6.82,12096.66,0.03
20020306,7.24,7.35,7.12,7.02,22535.15,0.13
20020307,7.1,7.3,7.29,7.07,18120.4,0.17
20020308,7.35,7.45,7.35,7.27,23620.89,0.06
20020311,7.48,7.6,7.56,7.37,21161.8,0.21
20020312,7.5,7.65,7.44,7.44,19098.4,-0.12
20020313,7.4,7.4,7.19,7.17,12545.0,-0.25
20020314,7.19,7.34,7.32,7.12,11397.29,0.13
20020315,7.32,7.42,7.14,6.9,8995.8,-0.18
20020318,7.18,7.36,7.19,7.1,5591.79,0.05
20020319,7.19,7.31,7.29,7.15,6559.0,0.1
20020320,7.31,7.44,7.36,7.3,10917.77,0.07
20020321,7.38,7.59,7.51,7.34,23101.85,0.15
20020322,7.5,7.52,7.38,7.35,7052.65,-0.13
20020325,7.38,7.48,7.43,7.35,5227.95,0.05
20020326,7.4,7.43,7.27,7.22,5984.11,-0.16
20020327,7.21,7.4,7.39,7.14,7952.81,0.12
20020328,7.39,7.46,7.43,7.28,7334.14,0.04
20020329,7.31,7.37,7.26,7.21,8559.1,-0.17
20020401,7.25,7.52,7.49,7.22,18035.32,0.23
20020402,7.5,7.7,7.64,7.45,37798.72,0.15
20020403,7.64,7.75,7.68,7.56,18605.43,0.04
20020404,7.68,7.75,7.72,7.43,16593.8,0.04
20020405,7.7,7.82,7.64,7.55,17776.81,-0.08
20020408,7.6,7.72,7.62,7.5,9416.2,-0.02
20020409,7.59,7.81,7.76,7.51,13765.16,0.14
20020410,7.8,7.81,7.76,7.66,9398.25,0.0
20020411,7.79,7.85,7.73,7.72,10147.61,-0.03
20020412,7.75,8.3,7.85,7.75,34785.9,0.12
20020416,7.88,7.96,7.72,7.66,10152.0,-0.13
20020417,7.8,7.8,7.68,7.58,4693.03,-0.04
20020418,7.7,7.75,7.53,7.48,9266.09,-0.15
20020419,7.5,7.66,7.64,7.43,6637.78,0.11
20020422,7.52,7.64,7.57,7.5,2369.2,-0.07
20020423,7.53,7.65,7.49,7.45,3625.96,-0.08
20020424,7.5,7.5,7.31,7.3,4425.5,-0.18
20020425,7.34,7.39,7.34,7.24,4252.39,0.03
20020426,7.35,7.48,7.42,7.35,3898.44,0.08
20020429,7.42,7.59,7.58,7.42,4249.75,0.16
20020430,7.6,7.65,7.65,7.58,4582.52,0.07
20020508,7.65,7.69,7.64,7.55,3749.2,-0.01
20020509,7.55,7.61,7.61,7.55,3958.6,-0.03
20020510,7.6,7.6,7.45,7.41,2161.04,-0.16
20020513,7.41,7.41,7.35,7.27,4012.48,-0.1
20020514,7.47,7.47,7.25,7.24,10151.0,-0.1
20020515,7.25,7.33,7.31,7.24,3800.34,0.06
20020516,7.36,7.36,7.14,7.1,7698.77,-0.17
20020517,7.15,7.3,7.3,7.11,5645.78,0.16
20020520,7.35,7.36,7.2,7.08,5321.08,-0.1
20020521,7.35,7.42,7.41,7.21,11267.6,0.21
20020522,7.3,7.35,7.18,7.06,4223.52,-0.11
20020523,7.2,7.32,7.17,7.11,3278.51,-0.01
20020524,7.18,7.18,7.03,6.99,3964.2,-0.14
20020527,7.1,7.13,6.94,6.9,2082.98,-0.09
20020528,7.0,7.1,6.99,6.93,2408.1,0.05
20020529,6.96,6.96,6.78,6.7,4207.29,-0.21
20020530,6.79,6.84,6.77,6.68,3047.41,-0.01
20020531,6.77,6.82,6.74,6.7,2119.99,-0.03
20020603,6.74,6.74,6.58,6.48,3306.0,-0.16
20020604,6.5,6.65,6.65,6.5,2171.56,0.07
20020605,6.53,6.6,6.53,6.44,2131.16,-0.12
20020606,6.46,6.95,6.84,6.4,5547.46,0.31
20020607,6.85,6.9,6.88,6.72,8464.07,0.04
20020610,6.88,6.93,6.83,6.75,2758.23,-0.05
20020611,6.84,6.97,6.94,6.76,3883.4,0.11
20020612,6.9,6.96,6.91,6.82,2148.04,-0.03
20020613,6.94,6.96,6.83,6.8,2312.04,-0.08
20020614,6.79,6.88,6.7,6.7,2912.08,-0.13
20020617,6.51,6.78,6.78,6.51,1939.2,0.08
20020618,6.75,6.93,6.91,6.75,5781.84,0.13
20020619,6.88,6.98,6.86,6.8,2321.7,-0.05
20020620,6.86,6.95,6.95,6.86,8909.86,0.09
20020621,6.97,7.2,7.19,6.93,13521.19,0.24
20020624,7.91,7.91,7.91,7.5,50876.06,0.72
20020625,7.85,7.99,7.8,7.7,34262.47,-0.11
20020626,7.68,7.82,7.8,7.55,14368.03,0.0
20020627,7.8,7.85,7.84,7.72,19306.72,0.04
20020701,8.0,8.17,7.91,7.9,54759.02,0.07
20020702,7.9,7.93,7.92,7.8,12637.56,0.01
20020703,7.94,8.02,8.01,7.92,14150.42,0.09
20020704,8.01,8.05,7.86,7.85,8456.64,-0.15
20020705,7.86,7.94,7.87,7.73,5849.31,0.01
20020708,7.88,7.95,7.89,7.85,4834.16,0.02
20020709,7.9,7.9,7.78,7.75,4627.0,-0.11
20020710,7.76,7.8,7.63,7.58,9121.0,-0.15
20020711,7.6,7.65,7.58,7.48,6459.62,-0.05
20020712,7.51,7.63,7.61,7.51,3066.27,0.03
20020715,7.64,7.64,7.45,7.38,8068.73,-0.16
20020716,7.43,7.55,7.46,7.43,2798.8,0.01
20020717,7.44,7.54,7.53,7.42,2496.58,0.07
20020718,7.55,7.63,7.59,7.53,3259.47,0.06
20020719,7.63,7.63,7.63,7.59,2203.24,0.04
20020722,7.65,7.67,7.49,7.46,2657.4,-0.14
20020723,7.48,7.51,7.4,7.39,5458.77,-0.09
20020724,7.4,7.5,7.44,7.35,4276.71,0.04
20020725,7.5,7.5,7.45,7.35,2738.67,0.01
20020726,7.45,7.45,7.43,7.37,1451.36,-0.02
20020729,7.42,7.48,7.47,7.37,1600.27,0.04
20020730,7.47,7.48,7.47,7.38,1659.32,0.0
20020731,7.47,7.53,7.5,7.42,6447.45,0.03
20020801,7.5,7.55,7.52,7.46,4671.32,0.02
20020802,7.53,7.6,7.57,7.53,4686.86,0.05
20020805,7.57,7.58,7.5,7.5,1565.6,-0.07
20020806,7.5,7.59,7.56,7.46,2604.14,0.06
20020807,7.5,7.56,7.55,7.48,1913.1,-0.01
20020808,7.56,7.66,7.63,7.55,9248.76,0.08
20020809,7.63,7.63,7.54,7.46,4678.94,-0.09
20020812,7.46,7.48,7.46,7.32,2381.19,-0.08
20020813,7.43,7.45,7.45,7.4,1363.08,-0.01
