trade_date,open,high,close,low,vol,change
20050104,6.63,7.04,6.83,6.32,82652.31,-0.12
20050105,6.7,7.29,7.13,6.7,81357.91,0.3
20050106,7.05,7.13,6.96,6.85,38394.18,-0.17
20050107,7.28,7.66,7.33,7.15,116199.22,0.37
20050110,7.26,7.48,7.47,7.15,48150.14,0.14
20050111,7.3,7.56,7.4,7.25,45620.58,-0.07
20050112,7.4,7.4,7.36,7.13,38510.89,-0.04
20050113,7.3,7.72,7.54,7.22,95380.98,0.18
20050114,7.5,7.64,7.33,7.29,62827.97,-0.21
20050117,7.18,7.32,7.29,7.03,42069.0,-0.04
20050118,7.3,7.53,7.46,7.26,51102.7,0.17
20050119,7.01,7.18,6.71,6.71,195507.34,-0.75
20050120,6.6,6.88,6.72,6.56,78083.41,0.01
20050121,6.76,6.93,6.87,6.37,125169.1,0.15
20050124,6.87,6.95,6.83,6.5,160895.84,-0.04
20050125,6.7,6.74,6.15,6.15,203149.48,-0.68
20050126,6.01,6.19,6.11,5.89,115002.18,-0.04
20050127,6.16,6.23,6.12,6.07,81004.37,0.01
20050128,6.09,6.12,5.66,5.55,136824.01,-0.46
20050131,6.09,6.12,5.66,5.55,136824.01,-0.46
20050201,5.73,5.89,5.48,5.33,102288.69,-0.18
20050202,5.48,6.03,6.03,5.3,112421.7,0.55
20050203,6.38,6.63,6.62,6.25,353795.58,0.59
20050204,6.48,6.54,6.48,6.06,180122.9,-0.14
20050216,6.5,6.67,6.52,6.31,97816.49,0.04
20050217,6.48,6.76,6.72,6.33,88911.76,0.2
20050218,6.76,6.76,6.34,6.31,93818.61,-0.38
20050221,6.35,6.53,6.47,6.34,81062.28,0.13
20050222,6.27,7.12,6.86,6.2,213438.79,0.39
20050223,6.7,7.05,6.83,6.67,159262.16,-0.03
20050224,6.8,7.22,7.11,6.73,171126.53,0.28
20050225,7.06,7.16,7.0,6.97,107431.72,-0.11
20050228,7.05,7.37,7.11,7.01,126580.17,0.11
20050301,7.1,7.13,6.87,6.82,82325.16,-0.24
20050302,6.81,6.97,6.62,6.58,73372.2,-0.25
20050303,6.6,6.79,6.72,6.56,58078.17,0.1
20050304,6.76,6.78,6.49,6.47,57973.31,-0.23
20050307,6.5,6.67,6.63,6.31,63140.88,0.14
20050308,6.58,6.9,6.82,6.57,81478.96,0.19
20050309,6.82,6.92,6.79,6.71,56031.12,-0.03
20050310,6.8,6.84,6.55,6.46,61908.99,-0.24
20050311,6.51,6.64,6.54,6.36,50439.16,-0.01
20050314,6.47,6.53,6.33,6.29,50438.33,-0.21
20050315,6.31,6.48,6.29,6.24,39847.66,-0.04
20050316,6.28,6.32,6.11,6.06,51277.8,-0.18
20050317,6.12,6.44,6.21,6.1,56494.3,0.1
20050318,6.19,6.25,5.85,5.76,54455.43,-0.36
20050321,5.9,6.0,5.92,5.85,36403.02,0.07
20050322,5.93,5.93,5.58,5.52,76512.43,-0.34
20050323,5.55,6.14,5.84,5.51,107742.04,0.26
20050324,5.79,6.03,6.0,5.63,73437.64,0.16
20050325,5.96,6.21,6.01,5.93,84096.55,0.01
20050328,5.95,6.05,6.01,5.71,59319.56,0.0
20050329,6.0,6.07,5.84,5.82,39882.64,-0.17
20050330,5.8,5.91,5.64,5.61,52258.43,-0.2
20050331,5.61,5.83,5.8,5.58,41874.52,0.16
20050401,5.73,6.18,6.05,5.62,81321.25,0.25
20050404,5.93,5.99,5.84,5.75,69915.99,-0.21
20050405,5.9,6.04,5.85,5.84,73778.47,0.01
20050406,5.79,6.07,5.91,5.75,87054.47,0.06
20050407,5.88,6.29,6.0,5.82,140394.02,0.09
20050408,6.0,6.1,6.08,5.91,64125.34,0.08
20050411,6.1,6.36,6.19,6.06,91792.96,0.11
20050412,6.2,6.26,5.91,5.88,55474.79,-0.28
20050413,5.98,6.1,6.04,5.95,55688.12,0.13
20050414,6.08,6.1,5.68,5.67,87390.6,-0.36
20050415,5.65,5.65,5.34,5.32,78163.03,-0.34
20050418,5.34,5.49,5.36,5.32,49895.3,0.02
20050419,5.35,5.44,4.82,4.82,103116.71,-0.54
20050420,4.65,4.81,4.74,4.55,97290.08,-0.08
20050421,4.74,4.83,4.58,4.4,86837.94,-0.16
20050422,4.51,4.69,4.51,4.43,83571.87,-0.07
20050425,4.1,4.36,4.29,4.07,92797.51,-0.22
20050426,4.25,4.43,4.34,4.22,68376.47,0.05
20050427,4.35,4.38,3.91,3.91,96011.19,-0.43
20050428,3.69,4.3,4.3,3.68,169719.42,0.39
20050429,4.35,4.35,4.08,4.01,103955.41,-0.22
20050509,4.07,4.24,3.96,3.94,70142.21,-0.12
20050510,3.94,4.03,3.69,3.56,126402.59,-0.27
20050511,3.64,3.86,3.74,3.52,120781.0,0.05
20050512,3.74,3.97,3.8,3.62,104239.99,0.06
20050513,3.76,4.06,3.93,3.75,116897.96,0.13
20050516,3.89,3.93,3.9,3.73,62638.22,-0.03
20050517,3.9,4.02,3.95,3.84,67337.44,0.05
20050518,3.93,4.02,3.98,3.8,68757.45,0.03
20050519,3.97,4.0,3.94,3.82,49187.84,-0.04
20050520,3.96,3.97,3.85,3.82,37384.38,-0.09
20050523,3.82,3.85,3.82,3.68,49813.51,-0.03
20050524,3.8,4.03,3.92,3.78,100855.55,0.1
20050525,3.9,4.02,3.9,3.84,85407.73,-0.02
20050526,3.9,4.02,3.9,3.84,85407.73,-0.02
20050527,3.85,4.01,3.85,3.8,58258.09,-0.05
20050530,3.82,4.18,4.05,3.81,137499.69,0.2
20050531,4.05,4.09,4.07,3.99,69670.08,0.02
20050601,4.06,4.09,3.94,3.87,65405.85,-0.13
20050602,3.94,4.05,3.98,3.89,62217.91,0.04
20050603,3.98,4.06,3.82,3.73,99232.54,-0.16
20050606,3.77,3.91,3.9,3.63,63652.44,0.08
20050607,3.9,4.18,3.95,3.85,129616.16,0.05
20050608,3.9,4.35,4.26,3.9,195404.78,0.31
20050609,4.25,4.64,4.51,4.19,203650.24,0.25
