trade_date,open,high,close,low,vol,change
20050104,9.11,9.15,9.08,9.0,454.32,-0.11
20050105,9.04,9.16,9.1,8.98,485.72,0.02
20050106,9.05,9.1,9.05,9.02,79.0,-0.05
20050107,9.1,9.1,9.07,9.0,281.0,0.02
20050110,9.03,9.09,9.04,8.9,463.72,-0.03
20050111,9.03,9.09,8.7,8.7,1106.0,-0.34
20050112,8.68,8.68,8.31,8.14,3765.95,-0.39
20050113,8.25,8.29,8.28,8.18,1248.07,-0.03
20050114,8.28,8.3,8.23,8.2,884.5,-0.05
20050117,8.13,8.2,7.95,7.81,1833.55,-0.28
20050118,7.92,7.98,7.78,7.68,1794.75,-0.17
20050119,7.71,7.8,7.76,7.65,634.5,-0.02
20050120,7.7,7.76,7.68,7.5,955.75,-0.08
20050121,7.66,7.87,7.86,7.6,1030.13,0.18
20050124,7.98,8.09,7.9,7.85,1886.55,0.04
20050125,7.85,7.89,7.84,7.75,468.0,-0.06
20050126,8.44,8.62,8.62,8.4,38532.87,0.78
20050127,8.57,8.6,8.12,8.08,17125.07,-0.5
20050128,8.08,8.12,7.77,7.61,9280.26,-0.35
20050131,7.69,7.74,7.63,7.5,3744.51,-0.14
20050201,7.57,7.73,7.55,7.52,3151.0,-0.08
20050202,7.56,7.9,7.86,7.56,5005.32,0.31
20050203,7.89,7.94,7.76,7.75,5269.29,-0.1
20050204,7.7,8.06,8.0,7.7,5377.63,0.24
20050216,8.2,8.24,8.07,8.06,5301.7,0.07
20050217,8.07,8.07,7.97,7.92,3010.67,-0.1
20050218,7.97,8.05,7.92,7.91,2591.27,-0.05
20050221,7.9,8.09,8.07,7.89,3933.21,0.15
20050222,8.09,8.35,8.29,8.04,10130.43,0.22
20050223,8.27,8.48,8.33,8.21,7336.32,0.04
20050224,8.28,8.46,8.4,8.28,5025.23,0.07
20050225,8.41,8.66,8.51,8.37,7936.36,0.11
20050228,8.41,8.45,8.29,8.27,7915.34,-0.22
20050301,8.22,8.35,8.35,8.22,2540.42,0.06
20050302,8.34,8.49,8.25,8.24,3219.0,-0.1
20050303,8.24,8.39,8.38,8.2,3364.86,0.13
20050304,8.4,8.4,8.22,8.21,1830.54,-0.16
20050307,8.23,8.33,8.31,8.21,1906.8,0.09
20050308,8.29,8.48,8.44,8.26,5598.75,0.13
20050309,8.52,8.55,8.38,8.31,3449.11,-0.06
20050310,8.38,8.98,8.71,8.36,20369.26,0.33
20050311,8.64,8.85,8.77,8.6,9874.21,0.06
20050314,8.87,9.09,9.0,8.8,14598.17,0.23
20050315,9.01,9.1,8.64,8.62,7572.0,-0.36
20050316,8.64,8.77,8.63,8.45,4603.31,-0.01
20050317,8.63,8.65,8.47,8.45,3664.5,-0.16
20050318,8.47,8.47,8.02,7.92,4448.71,-0.45
20050321,8.05,8.12,7.96,7.9,2104.75,-0.06
20050322,7.98,8.08,7.89,7.76,2003.38,-0.07
20050323,7.89,8.35,8.09,7.61,3591.28,0.2
20050324,8.27,8.27,8.16,7.97,1974.92,0.07
20050325,8.08,8.17,8.13,8.05,1095.39,-0.03
20050328,8.13,8.13,7.97,7.83,2295.64,-0.16
